"term","definition","source","language","country","normalized"
"genitals","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","genitals"
"getiton","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","getiton"
"gey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gey"
"gfy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gfy"
"ghay","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ghay"
"ghey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ghey"
"giant cock","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","giantcock"
"gigolo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gigolo"
"ginzo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ginzo"
"ginzos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ginzos"
"gipp","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gipp"
"gippo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gippo"
"gippos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gippos"
"gipps","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gipps"
"girl on top","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","girlontop"
"girl on","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","girlon"
"girls gone wild","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","girlsgonewild"
"givehead","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","givehead"
"glans","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","glans"
"glazeddonut","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","glazeddonut"
"goatcx","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goatcx"
"goatse","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goatse"
"god dammit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddammit"
"god damn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamn"
"god damnit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamnit"
"god-dam","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddam"
"god-damned","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamned"
"godam","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","godam"
"godammit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","godammit"
"godamn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","godamn"
"godamnit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","godamnit"
"goddamit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamit"
"goddamm","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamm"
"goddamnes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamnes"
"goddamnmuthafucker","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goddamnmuthafucker"
"godsdamn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","godsdamn"
"gokkun","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gokkun"
"golden shower","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goldenshower"
"golliwog","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","golliwog"
"golliwogs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","golliwogs"
"gonad","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gonad"
"gonads","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gonads"
"gonorrehea","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gonorrehea"
"gonzagas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gonzagas"
"goo girl","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","googirl"
"gooch","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gooch"
"goodpoop","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goodpoop"
"gook eye","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gookeye"
"gook eyes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gookeyes"
"gook","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gook"
"gookies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gookies"
"gooks","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gooks"
"gooky","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gooky"
"gora","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gora"
"goras","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goras"
"goregasm","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goregasm"
"gotohell","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gotohell"
"goy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goy"
"goyim","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","goyim"
"greaseball","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","greaseball"
"greaseballs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","greaseballs"
"groe","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","groe"
"groid","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","groid"
"groids","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","groids"
"grope","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","grope"
"grostulation","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","grostulation"
"group sex","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","groupsex"
"gstring","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gstring"
"gtfo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gtfo"
"gub","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gub"
"gubba","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gubba"
"gubbas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gubbas"
"gubs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gubs"
"guido","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","guido"
"guiena","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","guiena"
"guineas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","guineas"
"guizi","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","guizi"
"gummer","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gummer"
"guro","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","guro"
"gwailo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gwailo"
"gwailos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gwailos"
"gweilo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gweilo"
"gweilos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gweilos"
"gyopo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyopo"
"gyopos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyopos"
"gyp","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyp"
"gyped","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyped"
"gypo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gypo"
"gypos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gypos"
"gypp","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gypp"
"gypped","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gypped"
"gyppie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppie"
"gyppies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppies"
"gyppo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppo"
"gyppos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppos"
"gyppy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppy"
"gyppys","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gyppys"
"gypsys","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","gypsys"
"h e l l","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hell"
"h o m","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hom"
"h00r","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h00r"
"h0ar","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h0ar"
"h0m0","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h0m0"
"h0mo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h0mo"
"h0r","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h0r"
"h0re","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h0re"
"h4x0r","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","h4x0r"
"hadji","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hadji"
"hadjis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hadjis"
"hairyback","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hairyback"
"hairybacks","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hairybacks"
"haji","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","haji"
"hajis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hajis"
"hajji","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hajji"
"hajjis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hajjis"
"half breed","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","halfbreed"
"half caste","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","halfcaste"
"hamas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hamas"
"hamflap","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hamflap"
"hand job","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","handjob"
"haole","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","haole"
"haoles","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","haoles"
"hapa","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hapa"
"hard core","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hardcore"
"hardcoresex","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hardcoresex"
"hardon","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hardon"
"he11","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","he11"
"headfuck","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","headfuck"
"hebe","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hebe"
"hebes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hebes"
"heeb","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","heeb"
"heebs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","heebs"
"hells","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hells"
"helvete","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","helvete"
"hentai","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hentai"
"heroin","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","heroin"
"herp","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","herp"
"herpes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","herpes"
"herpy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","herpy"
"heshe","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","heshe"
"hijacking","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hijacking"
"hillbillies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hillbillies"
"hillbilly","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hillbilly"
"hindoo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hindoo"
"hiscock","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hiscock"
"hitler","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hitler"
"hitlerism","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hitlerism"
"hitlerist","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hitlerist"
"hoare","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoare"
"hobag","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hobag"
"hodgie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hodgie"
"hoer","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoer"
"hoes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoes"
"holestuffer","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","holestuffer"
"hom0","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hom0"
"homo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","homo"
"homobangers","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","homobangers"
"homodumbshit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","homodumbshit"
"homoey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","homoey"
"honger","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honger"
"honkers","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honkers"
"honkey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honkey"
"honkeys","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honkeys"
"honkie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honkie"
"honkies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honkies"
"honky","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","honky"
"hooch","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hooch"
"hooker","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hooker"
"hookers","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hookers"
"hoor","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoor"
"hoore","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoore"
"hootch","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hootch"
"hooter","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hooter"
"hooters","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hooters"
"hore","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hore"
"hori","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hori"
"horis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horis"
"hork","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hork"
"horndawg","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horndawg"
"horndog","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horndog"
"horney","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horney"
"horniest","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horniest"
"horny","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horny"
"horseshit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","horseshit"
"hosejob","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hosejob"
"hoser","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hoser"
"hot carl","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hotcarl"
"hot chick","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hotchick"
"hotdamn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hotdamn"
"hotpussy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hotpussy"
"hotsex","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hotsex"
"hottotrot","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hottotrot"
"how to kill","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","howtokill"
"how to murder","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","howtomurder"
"howtomurdep","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","howtomurdep"
"huevon","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","huevon"
"huge fat","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hugefat"
"hui","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hui"
"hummer","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hummer"
"humped","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humped"
"humper","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humper"
"humpher","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humpher"
"humphim","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humphim"
"humpin","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humpin"
"humping","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","humping"
"hussy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hussy"
"hustler","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hustler"
"hymen","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hymen"
"hymie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hymie"
"hymies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","hymies"
"iblowu","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","iblowu"
"ike","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ike"
"ikes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ikes"
"ikey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ikey"
"ikeymo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ikeymo"
"ikeymos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ikeymos"
"ikwe","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","ikwe"
"illegals","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","illegals"
"incest","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","incest"
"indon","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","indon"
"indons","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","indons"
"injun","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","injun"
"injuns","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","injuns"
"insest","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","insest"
"intercourse","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","intercourse"
"intheass","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","intheass"
"inthebuff","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","inthebuff"
"israels","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","israels"
"j3rk0ff","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","j3rk0ff"
"jack off","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jackoff"
"jackass","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jackass"
"jackhole","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jackhole"
"jackshit","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jackshit"
"jacktheripper","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jacktheripper"
"jail bait","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jailbait"
"jap","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jap"
"japcrap","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","japcrap"
"japie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","japie"
"japies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","japies"
"japs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","japs"
"jebus","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jebus"
"jelly donut","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jellydonut"
"jerk off","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jerkoff"
"jerk0ff","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jerk0ff"
"jerked","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jerked"
"jerries","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jerries"
"jerry","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jerry"
"jewboy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jewboy"
"jewed","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jewed"
"jewess","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jewess"
"jiga","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiga"
"jigaboo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigaboo"
"jigaboos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigaboos"
"jigarooni","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigarooni"
"jigaroonis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigaroonis"
"jigg","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigg"
"jigga","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigga"
"jiggabo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggabo"
"jiggaboo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggaboo"
"jiggabos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggabos"
"jiggas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggas"
"jigger","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigger"
"jiggerboo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggerboo"
"jiggers","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggers"
"jiggs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggs"
"jiggy","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiggy"
"jigs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jigs"
"jihad","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jihad"
"jijjiboo","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jijjiboo"
"jijjiboos","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jijjiboos"
"jimfish","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jimfish"
"jisim","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jisim"
"jism","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jism"
"jiss","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiss"
"jiz","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jiz"
"jizim","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizim"
"jizin","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizin"
"jizjuice","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizjuice"
"jizm","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizm"
"jizn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizn"
"jizz","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizz"
"jizzd","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzd"
"jizzed","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzed"
"jizzim","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzim"
"jizzin","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzin"
"jizzn","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzn"
"jizzum","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jizzum"
"jugg","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","jugg"
"juggs","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","juggs"
"jungle bunnies","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","junglebunnies"
"jungle bunny","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","junglebunny"
"junkie","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","junkie"
"junky","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","junky"
"kacap","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kacap"
"kacapas","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kacapas"
"kacaps","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kacaps"
"kaffer","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kaffer"
"kaffir","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kaffir"
"kaffre","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kaffre"
"kafir","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kafir"
"kanake","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kanake"
"kanker","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kanker"
"katsap","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","katsap"
"katsaps","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","katsaps"
"kawk","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kawk"
"khokhol","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","khokhol"
"khokhols","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","khokhols"
"kigger","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kigger"
"kike","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kike"
"kikes","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kikes"
"kimchis","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kimchis"
"kinbaku","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kinbaku"
"kink","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kink"
"kinkster","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kinkster"
"kinky","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kinky"
"kinkyJesus","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kinkyjesus"
"kissass","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kissass"
"kiunt","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kiunt"
"kkk","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kkk"
"klan","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klan"
"klansman","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klansman"
"klansmen","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klansmen"
"klanswoman","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klanswoman"
"klanswomen","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klanswomen"
"klootzak","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","klootzak"
"knobbing","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobbing"
"knobead","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobead"
"knobed","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobed"
"knobend","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobend"
"knobhead","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobhead"
"knobjocky","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobjocky"
"knobjokey","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobjokey"
"knobz","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knobz"
"knockers","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knockers"
"knulle","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","knulle"
"kock","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kock"
"kondum","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kondum"
"kondums","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kondums"
"kooch","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kooch"
"kooches","Imported from Open Source Blacklist","GitHub_Raw_List","en","Global","kooches"
